year	price	engine_volume_l	engine_power_hp	fuel_type	transmission	drivetrain	mileage_km	evaluation
2015	1450000	1.6	105	дизель	механика	передний	255571	нормальная цена
2012	990000	1.8	160	бензин	робот	передний	193010	нормальная цена
2018	2370000	1.4	150	бензин	робот	передний	209500	нормальная цена
2021	3850000	2.0	190	бензин	робот	передний	83724	нормальная цена
2013	1350000	1.8	152	бензин	робот	передний	135500	Unknown
2012	1010000	1.8	152	бензин	автомат	передний	154004	хорошая цена
2013	1200000	1.8	152	бензин	автомат	передний	235000	нормальная цена
2010	1070000	1.8	152	бензин	робот	передний	218000	нормальная цена
2010	1050000	1.8	152	бензин	робот	передний	193115	нормальная цена
2015	1785000	1.4	150	бензин	робот	передний	145009	нормальная цена
2009	990000	1.8	152	бензин	автомат	передний	175000	нормальная цена
2010	1050000	1.8	152	бензин	робот	передний	213000	нормальная цена
2013	1870000	1.8	152	бензин	робот	передний	163000	нормальная цена
2012	1050000	1.8	152	бензин	автомат	передний	210000	нормальная цена
2013	1600000	1.8	152	бензин	робот	передний	158753	высокая цена
2017	1870000	1.4	150	бензин	робот	передний	176655	нормальная цена
2009	907000	1.8	152	бензин	робот	передний	216100	нормальная цена
2003	570000	1.8	150	бензин	механика	передний	356333	нормальная цена
2014	1645000	1.8	152	бензин	робот	передний	165000	нормальная цена
2012	1399000	1.8	152	бензин	автомат	передний	162000	нормальная цена
2017	2045000	1.8	180	бензин	робот	передний	179000	нормальная цена
2013	1095000	1.8	152	бензин	робот	передний	226000	хорошая цена
2022	3640000	2.0	190	бензин	робот	передний	43422	нормальная цена
2011	840000	1.8	152	бензин	робот	передний	162000	Unknown
2012	973000	1.8	152	бензин	автомат	передний	235512	хорошая цена
2007	620000	1.8	150	бензин	автомат	передний	187815	нормальная цена
2018	2200000	1.8	180	бензин	робот	передний	155296	нормальная цена
2024	4350000	2.0	186	бензин	робот	передний	10	нормальная цена
2024	4350000	2.0	186	бензин	робот	передний	10	нормальная цена
2024	4450000	2.0	186	бензин	робот	передний	10	нормальная цена
2017	2320000	1.8	180	бензин	робот	передний	106725	нормальная цена
2010	1060000	1.8	152	бензин	робот	передний	178000	нормальная цена
2012	1570000	2.0	140	дизель	робот	передний	118200	нормальная цена
2014	1400000	1.8	152	бензин	робот	передний	148000	нормальная цена
2012	1600000	1.8	152	бензин	автомат	передний	169824	высокая цена
2014	900000	1.8	152	бензин	робот	передний	157500	Unknown
2010	1300000	1.8	152	бензин	робот	передний	216000	нормальная цена
2018	2099000	1.4	150	бензин	робот	передний	137529	нормальная цена
2012	1450000	2.0	140	дизель	робот	передний	385000	высокая цена
2022	4050000	2.0	190	бензин	робот	передний	28652	нормальная цена
2016	2540000	1.8	180	бензин	робот	передний	100929	нормальная цена
2013	1170000	1.8	152	бензин	автомат	передний	125896	нормальная цена
2019	2189000	1.8	180	бензин	робот	передний	202701	нормальная цена
2016	2800000	2.0	280	бензин	робот	4WD	240000	нормальная цена
2019	2083000	1.4	150	бензин	робот	передний	111004	нормальная цена
2010	650000	1.8	152	бензин	робот	передний	170000	Unknown
2006	750000	1.8	150	бензин	механика	передний	330000	высокая цена
2012	1250000	1.8	152	бензин	автомат	передний	152000	нормальная цена
